YEAR,COUNTRY,VALUE PER TONNE
2010-2019,Albania,30122
2010-2019,Algeria,258511
2010-2019,Angola,53537
2010-2019,Antigua And Barbuda,403
2010-2019,Argentina,20790
2010-2019,Australia,4173
2010-2019,Bahamas,1267
2010-2019,Bahrain,208
2010-2019,Bangladesh,452158
2010-2019,Barbados,576
2010-2019,Belgium,30
2010-2019,Brazil,940540
2010-2019,Belize,16210
2010-2019,Solomon Islands,39941
2010-2019,Brunei Darussalam,1293
2010-2019,Bulgaria,173
2010-2019,Myanmar,325359
2010-2019,Cambodia,3024
2010-2019,Cameroon,67901
2010-2019,Canada,639
2010-2019,Cape Verde,2223
2010-2019,Sri Lanka,75154
2010-2019,Chile,5351
2010-2019,China,3185508
2010-2019,Colombia,52544
2010-2019,Comoros,40559
2010-2019,Congo,9511
2010-2019,Democratic Republic Of The Congo,157
2010-2019,Costa Rica,6233
2010-2019,Croatia,6492
2010-2019,Cyprus,179
2010-2019,Benin,32542
2010-2019,Denmark,168
2010-2019,Dominica,710
2010-2019,Dominican Republic,126482
2010-2019,Ecuador,30036
2010-2019,El Salvador,18895
2010-2019,Equatorial Guinea,5396
2010-2019,Eritrea,5919
2010-2019,Estonia,145
2010-2019,Fiji,3063
2010-2019,Finland,437
2010-2019,France,1669
2010-2019,Djibouti,3868
2010-2019,Gabon,2208
2010-2019,Georgia,869
2010-2019,Gambia,15163
2010-2019,Germany,2319
2010-2019,Ghana,109019
2010-2019,Kiribati,37
2010-2019,Greece,35777
2010-2019,Grenada,915
2010-2019,Guatemala,39948
2010-2019,Guinea,25340
2010-2019,Guyana,17061
2010-2019,Haiti,136734
2010-2019,Honduras,28270
2010-2019,"Hong Kong, China",28414
2010-2019,Iceland,39
2010-2019,India,1521591
2010-2019,Indonesia,926209
2010-2019,Iran (Islamic Republic Of),11924
2010-2019,Ireland,643
2010-2019,Israel,3210
2010-2019,Italy,9450
2010-2019,C̫te D'Ivoire,58403
2010-2019,Jamaica,32081
2010-2019,Japan,17906
2010-2019,Kenya,15164
2010-2019,Democratic People'S Republic Of Korea,19779
2010-2019,Republic Of Korea,6421
2010-2019,Kuwait,14087
2010-2019,Lebanon,27562
2010-2019,Latvia,213
2010-2019,Liberia,14351
2010-2019,Libya,101786
2010-2019,Lithuania,77
2010-2019,Madagascar,3853
2010-2019,Malaysia,546318
2010-2019,Maldives,219
2010-2019,Malta,152
2010-2019,Mauritania,4079
2010-2019,Mauritius,155
2010-2019,Mexico,52215
2010-2019,Montenegro,2971
2010-2019,Morocco,93076
2010-2019,Mozambique,112741
2010-2019,Oman,345
2010-2019,Namibia,512
2010-2019,Netherlands,9175
2010-2019,Vanuatu,1229
2010-2019,New Zealand,462
2010-2019,Nicaragua,38695
2010-2019,Nigeria,502546
2010-2019,Norway,227
2010-2019,Micronesia (Federated States Of),341
2010-2019,Palau,77
2010-2019,Pakistan,83808
2010-2019,Panama,22480
2010-2019,Papua New Guinea,44006
2010-2019,Peru,46143
2010-2019,Philippines,2642449
2010-2019,Poland,508
2010-2019,Portugal,1246
2010-2019,Guinea-Bissau,11453
2010-2019,Timor-Leste,11306
2010-2019,Puerto Rico (Usa),646
2010-2019,Qatar,885
2010-2019,Romania,2702
2010-2019,Russian Federation,34534
2010-2019,Saint Kitts And Nevis,55
2010-2019,Saint Lucia,2905
2010-2019,Saint Vincent And The Grenadines,799
2010-2019,Sao Tome And Principe,1304
2010-2019,Saudi Arabia,4354
2010-2019,Senegal,25726
2010-2019,Seychelles,47
2010-2019,Sierra Leone,23901
2010-2019,Viet Nam,656644
2010-2019,Somalia,3032
2010-2019,South Africa,136643
2010-2019,Spain,9205
2010-2019,Sudan,11836
2010-2019,Suriname,14028
2010-2019,Sweden,659
2010-2019,Syrian Arab Republic,4108
2010-2019,Thailand,425141
2010-2019,Togo,31773
2010-2019,Tonga,434
2010-2019,Trinidad And Tobago,47852
2010-2019,United Arab Emirates,2734
2010-2019,Tunisia,132766
2010-2019,Turkey,519066
2010-2019,Ukraine,38736
2010-2019,Egypt,259857
2010-2019,United Kingdom Of Great Britain & Northern Ireland,8491
2010-2019,United Republic Of Tanzania,199536
2010-2019,United States Of America,54233
2010-2019,Uruguay,161638
2010-2019,Venezuela,261310
2010-2019,Samoa,1232
2010-2019,Yemen,39823
2010-2019,"Taiwan, Province Of China",134955
2010-2019,Azores Islands (Port.),1246
2010-2019,Canary Islands (Sp.),9205
2010-2019,Ashmore & Cartier Is. (Aust.),4173
2010-2019,Bird Island,261310
2010-2019,Madeira Islands (Port.),1246
2010-2019,Chagos Archipelago (Mauritius),155
